end_date,p_mm,start_date
1985-07-09,38.577919705853176,1985-07-09
1985-10-20,48.794651396580754,1985-10-20
1985-10-21,53.57250095317977,1985-10-21
1985-11-03,41.60106171236732,1985-11-03
1985-11-04,93.48776443896716,1985-11-04
1985-11-05,49.350143318955844,1985-11-05
1985-11-27,38.30783126261379,1985-11-27
1986-03-14,37.37704550304901,1986-03-14
1987-04-16,37.277057663471844,1987-04-16
1987-09-07,40.26515453643182,1987-09-07
1988-01-19,38.523159901652775,1988-01-19
1988-04-06,36.790292775638584,1988-04-06
1988-04-07,34.3416758363546,1988-04-07
1988-05-05,48.1889665787597,1988-05-05
1988-05-18,45.11161233293584,1988-05-18
1988-08-19,37.25691053346485,1988-08-19
1989-03-05,35.89282243017526,1989-03-05
1989-03-06,54.18221939743137,1989-03-06
1989-07-19,34.66235878470909,1989-07-19
1989-07-20,36.143055155766504,1989-07-20
1990-05-25,39.92875432832894,1990-05-25
1990-05-26,40.54181302313983,1990-05-26
1990-06-30,41.56863938540937,1990-06-30
1990-07-12,47.72773780517359,1990-07-12
1990-07-13,33.94465646558624,1990-07-13
1990-08-22,47.68225739922379,1990-08-22
1990-08-23,38.015480990808065,1990-08-23
1990-10-22,45.03696488992835,1990-10-22
1991-12-02,43.049280193345496,1991-12-02
1992-07-24,40.51954705834688,1992-07-24
1992-12-10,60.944894145044614,1992-12-10
1992-12-11,45.55080664329032,1992-12-11
1993-03-04,54.46050751833116,1993-03-04
1993-03-13,40.242377038680694,1993-03-13
1993-04-15,35.57753366487091,1993-04-15
1993-04-16,57.05002935717386,1993-04-16
1993-06-07,34.70813477716818,1993-06-07
1993-11-27,58.67435476299703,1993-11-27
1993-12-04,33.9691576093231,1993-12-04
1994-02-08,64.02639927812446,1994-02-08
1994-02-09,44.0477711770952,1994-02-09
1994-03-02,37.31387784846188,1994-03-02
1994-03-09,40.085705458505274,1994-03-09
1994-05-07,38.88817455601286,1994-05-07
1994-08-17,56.35328826300978,1994-08-17
1995-06-27,52.69837284205442,1995-06-27
1995-08-05,56.46371556957912,1995-08-05
1995-08-06,53.92907245715719,1995-08-06
1995-10-20,46.71955724550134,1995-10-20
1995-11-14,36.32490272366297,1995-11-14
1996-01-07,43.94028098356047,1996-01-07
1996-01-18,37.13269519182026,1996-01-18
1996-01-19,38.4007965036071,1996-01-19
1996-03-19,40.31128096709325,1996-03-19
1996-07-18,51.11324863275277,1996-07-18
1996-07-19,62.89889305009433,1996-07-19
1996-07-30,50.15092362470886,1996-07-30
1996-08-12,44.107135803512996,1996-08-12
1996-09-06,138.1099600264462,1996-09-06
1996-09-07,69.50916122638301,1996-09-07
1996-09-16,43.24323536830272,1996-09-16
1996-11-08,45.37917752668073,1996-11-08
1996-12-01,43.46636690945413,1996-12-01
1997-09-28,47.62620216207734,1997-09-28
1997-11-01,41.42760270154481,1997-11-01
1997-11-06,37.69711002245132,1997-11-06
1997-11-07,52.6229016994837,1997-11-07
1998-02-04,46.555286015240895,1998-02-04
1998-04-09,39.27964859354846,1998-04-09
1998-04-19,55.325226335374715,1998-04-19
1999-03-14,34.17620741977673,1999-03-14
1999-04-09,36.18671259063359,1999-04-09
2000-02-18,56.122270859795705,2000-02-18
2000-08-06,55.97810125107046,2000-08-06
2000-09-11,37.93058711566292,2000-09-11
2000-09-25,49.609477080572866,2000-09-25
2001-06-06,49.507598595201806,2001-06-06
2001-06-22,42.05042101949382,2001-06-22
2002-09-26,40.124649872705966,2002-09-26
2002-09-27,35.51069172192144,2002-09-27
2003-02-16,53.59370659449271,2003-02-16
2003-02-17,38.48391515376294,2003-02-17
2003-05-10,34.89720291777985,2003-05-10
2003-08-27,35.82597245910088,2003-08-27
2003-09-18,77.50219594995353,2003-09-18
2003-09-19,63.892285654856025,2003-09-19
2003-11-19,34.135128347758524,2003-11-19
2004-02-05,37.58885314649812,2004-02-05
2004-02-06,42.74746030052084,2004-02-06
2004-06-11,38.77513545714044,2004-06-11
2004-06-12,36.04260132305944,2004-06-12
2004-09-08,91.74694112737886,2004-09-08
2004-09-09,47.919313897059055,2004-09-09
2004-09-17,40.087247516409995,2004-09-17
2005-01-05,35.64019161429868,2005-01-05
2005-03-28,46.10096858764115,2005-03-28
2005-07-07,38.98220337363814,2005-07-07
2005-07-08,35.4031609780414,2005-07-08
2005-10-07,37.35635782717378,2005-10-07
2005-11-29,34.8596183134146,2005-11-29
2006-04-21,34.16233388661842,2006-04-21
2006-04-22,41.45494156709604,2006-04-22
2006-05-14,34.477551678099964,2006-05-14
2006-09-01,46.248459685848516,2006-09-01
2007-04-14,33.89447794657578,2007-04-14
2007-08-20,63.7021560984465,2007-08-20
2007-08-21,39.51348786458977,2007-08-21
2008-04-20,34.2922912583139,2008-04-20
2008-08-28,41.75177809053583,2008-08-28
2008-12-11,45.30087533789932,2008-12-11
2009-05-03,36.2627732860565,2009-05-03
2009-05-04,44.41675126574591,2009-05-04
2009-06-04,40.35083563274684,2009-06-04
2009-06-17,50.69671368960508,2009-06-17
2009-10-23,35.580644559432734,2009-10-23
2009-10-24,36.91826302114238,2009-10-24
2009-12-08,39.85629303872163,2009-12-08
2010-02-05,47.434864005076186,2010-02-05
2010-02-06,42.27967136492067,2010-02-06
2010-03-13,33.925021343778624,2010-03-13
2010-07-13,37.30020876786569,2010-07-13
2010-09-30,51.02353523983986,2010-09-30
2010-10-01,39.11441026820647,2010-10-01
2010-11-30,45.33716166277665,2010-11-30
2010-12-01,42.59417218219981,2010-12-01
2011-03-10,43.24051263632193,2011-03-10
2011-05-17,45.72322838926741,2011-05-17
2011-05-18,49.12521882131577,2011-05-18
2011-05-27,37.704774557670014,2011-05-27
2011-06-19,35.33102518336518,2011-06-19
2011-09-05,36.79872009030431,2011-09-05
2011-09-06,77.19478672270964,2011-09-06
2011-09-07,56.17846972937059,2011-09-07
2011-12-07,38.580354613786156,2011-12-07
